,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),combined
0,Kent Ridge,2020,12,1,0,0,0,0,-,-,-,-,-,1/12/2020
1,Kent Ridge,2020,12,2,6.4,5.8,6,6,-,-,-,-,-,2/12/2020
2,Kent Ridge,2020,12,3,9.4,8,9.2,9.2,-,-,-,-,-,3/12/2020
3,Kent Ridge,2020,12,4,13.2,9.2,11.4,12.8,-,-,-,-,-,4/12/2020
4,Kent Ridge,2020,12,5,2,1.8,2,2,-,-,-,-,-,5/12/2020
5,Kent Ridge,2020,12,6,0.2,0.2,0.2,0.2,-,-,-,-,-,6/12/2020
6,Kent Ridge,2020,12,7,0.2,0.2,0.2,0.2,-,-,-,-,-,7/12/2020
7,Kent Ridge,2020,12,8,2.6,2.2,2.4,2.6,-,-,-,-,-,8/12/2020
8,Kent Ridge,2020,12,9,9.8,9.2,9.2,9.2,-,-,-,-,-,9/12/2020
9,Kent Ridge,2020,12,10,7.2,7,7,7.2,-,-,-,-,-,10/12/2020
10,Kent Ridge,2020,12,11,0,0,0,0,-,-,-,-,-,11/12/2020
11,Kent Ridge,2020,12,12,5.4,3,3.2,3.4,-,-,-,-,-,12/12/2020
12,Kent Ridge,2020,12,13,1.2,0.6,1,1.2,-,-,-,-,-,13/12/2020
13,Kent Ridge,2020,12,14,18,6.2,10.8,13,-,-,-,-,-,14/12/2020
14,Kent Ridge,2020,12,15,31.4,25,27,31,-,-,-,-,-,15/12/2020
15,Kent Ridge,2020,12,16,5,2.6,2.8,2.8,-,-,-,-,-,16/12/2020
16,Kent Ridge,2020,12,17,19,17.4,18.6,19,-,-,-,-,-,17/12/2020
17,Kent Ridge,2020,12,18,4.6,4,4,4,-,-,-,-,-,18/12/2020
18,Kent Ridge,2020,12,19,0,0,0,0,-,-,-,-,-,19/12/2020
19,Kent Ridge,2020,12,20,4,3.2,3.4,3.4,-,-,-,-,-,20/12/2020
20,Kent Ridge,2020,12,21,0,0,0,0.2,-,-,-,-,-,21/12/2020
21,Kent Ridge,2020,12,22,15,13,14.8,15,-,-,-,-,-,22/12/2020
22,Kent Ridge,2020,12,23,0,0,0,0,-,-,-,-,-,23/12/2020
23,Kent Ridge,2020,12,24,2.6,2,2.4,2.6,-,-,-,-,-,24/12/2020
24,Kent Ridge,2020,12,25,0,0,0,0,-,-,-,-,-,25/12/2020
25,Kent Ridge,2020,12,26,28.2,11.6,16.2,17.8,-,-,-,-,-,26/12/2020
26,Kent Ridge,2020,12,27,5.6,3.4,3.4,3.6,-,-,-,-,-,27/12/2020
27,Kent Ridge,2020,12,28,1,0.8,0.8,1,-,-,-,-,-,28/12/2020
28,Kent Ridge,2020,12,29,10.6,9.6,10.4,10.4,-,-,-,-,-,29/12/2020
29,Kent Ridge,2020,12,30,0,0,0,0,-,-,-,-,-,30/12/2020
30,Kent Ridge,2020,12,31,7.6,5.2,5.6,5.8,-,-,-,-,-,31/12/2020
31,Kent Ridge,2021,1,1,46,8.2,13.4,18.4,-,-,-,-,-,1/1/2021
32,Kent Ridge,2021,1,2,-,-,-,-,-,-,-,-,-,2/1/2021
33,Kent Ridge,2021,1,3,-,-,-,-,-,-,-,-,-,3/1/2021
34,Kent Ridge,2021,1,4,0,-,-,-,-,-,-,-,-,4/1/2021
35,Kent Ridge,2021,1,5,0,0,0,0,-,-,-,-,-,5/1/2021
36,Kent Ridge,2021,1,6,0,0,0,0,-,-,-,-,-,6/1/2021
37,Kent Ridge,2021,1,7,3.2,2.8,3,3,-,-,-,-,-,7/1/2021
38,Kent Ridge,2021,1,8,3.4,2.8,3,3.2,-,-,-,-,-,8/1/2021
39,Kent Ridge,2021,1,9,20.6,9,10.8,11.6,-,-,-,-,-,9/1/2021
40,Kent Ridge,2021,1,10,89.2,12.6,16.6,25,-,-,-,-,-,10/1/2021
41,Kent Ridge,2021,1,11,1.2,0.2,0.8,1.8,-,-,-,-,-,11/1/2021
42,Kent Ridge,2021,1,12,11.6,4,4.4,4.8,-,-,-,-,-,12/1/2021
43,Kent Ridge,2021,1,13,1,0.6,0.6,0.6,-,-,-,-,-,13/1/2021
44,Kent Ridge,2021,1,14,0,0,0,0,-,-,-,-,-,14/1/2021
45,Kent Ridge,2021,1,15,0,0,0,0,-,-,-,-,-,15/1/2021
46,Kent Ridge,2021,1,16,0,0,0,0,-,-,-,-,-,16/1/2021
47,Kent Ridge,2021,1,17,0,0,0,0,-,-,-,-,-,17/1/2021
48,Kent Ridge,2021,1,18,0,0,0,0,-,-,-,-,-,18/1/2021
49,Kent Ridge,2021,1,19,0,0,0,0,-,-,-,-,-,19/1/2021
50,Kent Ridge,2021,1,20,0,0,0,0,-,-,-,-,-,20/1/2021
51,Kent Ridge,2021,1,21,5.4,3.6,4.8,5.2,-,-,-,-,-,21/1/2021
52,Kent Ridge,2021,1,22,0,0,0,0,-,-,-,-,-,22/1/2021
53,Kent Ridge,2021,1,23,37,26.4,30.4,31.2,-,-,-,-,-,23/1/2021
54,Kent Ridge,2021,1,24,8.6,8.4,8.6,8.6,-,-,-,-,-,24/1/2021
55,Kent Ridge,2021,1,25,0.8,0.8,0.8,0.8,-,-,-,-,-,25/1/2021
56,Kent Ridge,2021,1,26,0,0,0,0,-,-,-,-,-,26/1/2021
57,Kent Ridge,2021,1,27,0.8,0.8,0.8,0.8,-,-,-,-,-,27/1/2021
58,Kent Ridge,2021,1,28,2.4,2,2.2,2.4,-,-,-,-,-,28/1/2021
59,Kent Ridge,2021,1,29,0,0,0,0,-,-,-,-,-,29/1/2021
60,Kent Ridge,2021,1,30,0,0,0,0,-,-,-,-,-,30/1/2021
61,Kent Ridge,2021,1,31,0,0,0,0,-,-,-,-,-,31/1/2021
62,Kent Ridge,2021,2,1,0,0,0,0,-,-,-,-,-,1/2/2021
63,Kent Ridge,2021,2,2,0,0,0,0,-,-,-,-,-,2/2/2021
64,Kent Ridge,2021,2,3,0,0,0,0,-,-,-,-,-,3/2/2021
65,Kent Ridge,2021,2,4,0,0,0,0,-,-,-,-,-,4/2/2021
66,Kent Ridge,2021,2,5,0,0,0,0,-,-,-,-,-,5/2/2021
67,Kent Ridge,2021,2,6,0,0,0,0,-,-,-,-,-,6/2/2021
68,Kent Ridge,2021,2,7,0,0,0,0,-,-,-,-,-,7/2/2021
69,Kent Ridge,2021,2,8,0.2,0.2,0.2,0.2,-,-,-,-,-,8/2/2021
70,Kent Ridge,2021,2,9,0,0,0,0,-,-,-,-,-,9/2/2021
71,Kent Ridge,2021,2,10,6,3.2,4,5.6,-,-,-,-,-,10/2/2021
72,Kent Ridge,2021,2,11,6.2,5.2,6,6.2,-,-,-,-,-,11/2/2021
73,Kent Ridge,2021,2,12,0,0,0,0,-,-,-,-,-,12/2/2021
74,Kent Ridge,2021,2,13,19.4,11.6,12.6,19.4,-,-,-,-,-,13/2/2021
75,Kent Ridge,2021,2,14,5,4.4,4.4,5,-,-,-,-,-,14/2/2021
76,Kent Ridge,2021,2,15,0,0,0,0,-,-,-,-,-,15/2/2021
77,Kent Ridge,2021,2,16,0,0,0,0,-,-,-,-,-,16/2/2021
78,Kent Ridge,2021,2,17,0,0,0,0,-,-,-,-,-,17/2/2021
79,Kent Ridge,2021,2,18,0,0,0,0,-,-,-,-,-,18/2/2021
80,Kent Ridge,2021,2,19,0,0,0,0,-,-,-,-,-,19/2/2021
81,Kent Ridge,2021,2,20,0,0,0,0,-,-,-,-,-,20/2/2021
82,Kent Ridge,2021,2,21,0,0,0,0,-,-,-,-,-,21/2/2021
83,Kent Ridge,2021,2,22,0,0,0,0,-,-,-,-,-,22/2/2021
84,Kent Ridge,2021,2,23,0,0,0,0,-,-,-,-,-,23/2/2021
85,Kent Ridge,2021,2,24,3.8,3.8,3.8,3.8,-,-,-,-,-,24/2/2021
86,Kent Ridge,2021,2,25,3.2,2,3.2,3.2,-,-,-,-,-,25/2/2021
87,Kent Ridge,2021,2,26,0,0,0,0,-,-,-,-,-,26/2/2021
88,Kent Ridge,2021,2,27,0,0,0,0,-,-,-,-,-,27/2/2021
89,Kent Ridge,2021,2,28,0,0,0,0,-,-,-,-,-,28/2/2021
